category,note
Sample representativeness,"ds002721: 31 participants, likely WEIRD-population sample per the source dataset's own demographics. No cultural generalization claimed."
Participant exclusions,"sub-29 excluded entirely (0/40 epochs survived artefact rejection). sub-02 retained despite severe loss (3/36 epochs, 91.7% loss) -- flagged, not treated as equally reliable as other participants."
Stimulus coverage,"Clips are a random ~40-per-participant draw from a 307-clip pool, not a shared fixed set. Median 2 raters/clip; 117/307 clips rated by exactly 1 person. Bridge analysis split into primary (>=5 raters, 76 clips) and exploratory (<5 raters, 223 clips) to avoid treating single-rater 'averages' as population estimates."
Audio provenance,"ds002721 does not include source audio. Recovered via the Eerola & Vuoskoski (2011) Soundtracks corpus, matched by event-code arithmetic (code-300=track number), cross-validated by exact filename match. 307/307 codes matched to existing files."
Clip duration assumption,"Source audio files vary in length (10-37s); ds002721 plays fixed 12s excerpts, but no end-of-music event code exists to recover the exact original trim point. All clips trimmed to their first 12 seconds as a documented, uniform assumption, not a verified match to the original excerpt. 8/307 clips were shorter than 12s and excluded rather than force-included at a mismatched length."
EEG feature scope,"13-channel montage (2 dropped for consistent noise, confirmed on 1 participant and generalized to all 31 -- not individually re-verified per participant), 3 broad bands, linear models only. FP1/FP2 excluded from artefact-rejection amplitude checks specifically (not from the features themselves) to avoid discarding most trials to ordinary blinking."
H1 (EEG -> self-report),"Null under leave-one-participant-out for both composites (properly scaled, nested-CV tuned, preregistered alpha grid). Two CI-confirmed non-null findings: LOPO valence shows a small but real NEGATIVE correlation (r=-0.127, 95% CI excludes zero); LOCO arousal shows a small but real POSITIVE correlation (r=0.222, CI excludes zero). The frontal_alpha_asymmetry coefficient's sign was checked directly across folds and found directionally consistent with theory (positive), ruling out a sign-convention bug as the source of the negative valence result -- the full explanation across all 10 features was not pursued further."
H3 (bridge),"Primary test null and CI-confirmed robust: all four correlations (primary/exploratory x valence/arousal) have bootstrap CIs comfortably containing zero, and permutation p-values are all non-significant (p>0.19). Secondary EEG-linkage test not conducted, since H1 found no reliable EEG-arousal relationship under LOPO to build it on."
Secondary outcomes,"The 8 individual self-report ratings (beyond the 2 composites) were not modeled; Benjamini-Hochberg FDR correction across them, as specified in the analysis plan, has not been performed."
"Non-clinical, non-causal","No individual-level, diagnostic, or causal claims. Associational only. Audio-EEG-self-report correlations do not establish mechanism."
Data/licensing,No raw audio or raw EEG redistributed. PMEmo and Eerola/Vuoskoski corpora used under their respective research-use terms.
